shard 1/4: 75 samples, threads=8
[67] uniform_p030_s1013 clip_i=drift clip_t=drift dino=drift
[68] native_p032_s1011 clip_i=drift clip_t=drift dino=drift
[69] routed_p032_s1011 clip_i=drift clip_t=correct dino=correct
[70] uniform_p032_s1011 clip_i=drift clip_t=correct dino=correct
[71] native_p033_s1012 clip_i=correct clip_t=drift dino=drift
[72] routed_p033_s1012 clip_i=drift clip_t=correct dino=correct
[73] uniform_p033_s1012 clip_i=correct clip_t=correct dino=correct
[74] native_p034_s1013 clip_i=drift clip_t=drift dino=correct
[75] routed_p034_s1013 clip_i=correct clip_t=correct dino=correct
[76] uniform_p034_s1013 clip_i=correct clip_t=correct dino=drift
[77] native_p036_s1011 clip_i=drift clip_t=drift dino=drift
[78] routed_p036_s1011 clip_i=correct clip_t=correct dino=drift
[79] uniform_p036_s1011 clip_i=correct clip_t=correct dino=drift
[80] native_p037_s1012 clip_i=drift clip_t=correct dino=correct
[81] routed_p037_s1012 clip_i=drift clip_t=drift dino=drift
[82] uniform_p037_s1012 clip_i=drift clip_t=drift dino=drift
[83] native_p038_s1013 clip_i=drift clip_t=drift dino=drift
[84] routed_p038_s1013 clip_i=correct clip_t=correct dino=correct
[85] uniform_p038_s1013 clip_i=correct clip_t=correct dino=correct
