eval_id,sample_id,pair_id,seed_group,replicate,latent_seed,condition,qwen_correct,gemini_correct,dual_vlm_correct,automated_consensus_correct
eval_0145,sample_0279,pair_002,1,2,1012,lsda_clean,1,1,1,1
eval_0146,sample_0061,pair_028,2,1,2021,lsda_clean,1,1,1,0
eval_0147,sample_0016,pair_018,3,1,3031,lsda_clean,1,1,1,0
eval_0148,sample_0021,pair_065,1,1,1011,native_SS,0,0,0,0
eval_0149,sample_0034,pair_010,2,3,2023,native_SS,1,0,0,0
eval_0150,sample_0526,pair_046,1,3,1013,lsda_clean,0,0,0,1
eval_0151,sample_0420,pair_068,2,2,2022,lsda_clean,1,1,1,1
eval_0152,sample_0792,pair_055,1,2,1012,native_SS,1,1,1,0
eval_0153,sample_0258,pair_031,2,3,2023,native_SS,1,1,1,0
eval_0154,sample_0829,pair_060,1,2,1012,native_SS,1,1,1,0
eval_0155,sample_0863,pair_076,3,3,3033,native_SS,1,1,1,0
eval_0156,sample_0378,pair_042,3,1,3031,native_SS,1,0,0,0
eval_0157,sample_0483,pair_057,3,3,3033,native_SS,1,1,1,0
eval_0158,sample_0005,pair_029,2,1,2021,lsda_clean,1,1,1,1
eval_0159,sample_0045,pair_027,3,1,3031,lsda_clean,1,1,1,0
eval_0160,sample_0286,pair_091,1,2,1012,native_SS,0,1,0,0
eval_0161,sample_0139,pair_038,1,3,1013,lsda_clean,1,1,1,0
eval_0162,sample_0329,pair_069,1,3,1013,lsda_clean,1,1,1,1
eval_0163,sample_0517,pair_075,2,2,2022,native_SS,1,1,1,1
eval_0164,sample_0694,pair_013,1,1,1011,native_SS,0,0,0,0
eval_0165,sample_0704,pair_016,1,3,1013,native_SS,1,0,0,0
eval_0166,sample_0151,pair_084,2,3,2023,native_SS,0,1,0,0
eval_0167,sample_0547,pair_089,3,2,3032,native_SS,0,0,0,0
eval_0168,sample_0215,pair_024,1,2,1012,lsda_clean,1,1,1,0
eval_0169,sample_0351,pair_050,3,3,3033,native_SS,1,1,1,0
eval_0170,sample_0097,pair_094,1,2,1012,native_SS,1,1,1,0
eval_0171,sample_0385,pair_023,3,1,3031,lsda_clean,1,0,0,0
eval_0172,sample_0783,pair_018,1,1,1011,native_SS,0,0,0,0
eval_0173,sample_0872,pair_031,3,3,3033,native_SS,0,0,0,0
eval_0174,sample_0793,pair_048,1,2,1012,lsda_clean,1,1,1,1
eval_0175,sample_0754,pair_066,3,1,3031,native_SS,0,0,0,0
eval_0176,sample_0318,pair_044,1,1,1011,native_SS,1,0,0,0
eval_0177,sample_0388,pair_065,3,1,3031,native_SS,1,1,1,1
eval_0178,sample_0284,pair_059,1,1,1011,native_SS,1,0,0,0
eval_0179,sample_0711,pair_032,2,1,2021,native_SS,1,0,0,0
eval_0180,sample_0726,pair_099,1,3,1013,lsda_clean,1,1,1,1
eval_0181,sample_0569,pair_040,1,2,1012,lsda_clean,1,0,0,0
eval_0182,sample_0473,pair_018,3,2,3032,native_SS,1,0,0,0
eval_0183,sample_0616,pair_002,2,1,2021,native_SS,1,0,0,0
eval_0184,sample_0393,pair_037,1,1,1011,lsda_clean,1,1,1,1
eval_0185,sample_0323,pair_042,3,3,3033,lsda_clean,1,1,1,0
eval_0186,sample_0006,pair_054,3,2,3032,native_SS,0,1,0,1
eval_0187,sample_0163,pair_067,1,2,1012,lsda_clean,1,1,1,0
eval_0188,sample_0388,pair_065,3,1,3031,lsda_clean,1,1,1,0
eval_0189,sample_0422,pair_030,3,2,3032,lsda_clean,1,1,1,0
eval_0190,sample_0024,pair_029,3,2,3032,native_SS,0,0,0,0
eval_0191,sample_0715,pair_047,3,3,3033,lsda_clean,1,1,1,0
eval_0192,sample_0692,pair_065,2,1,2021,lsda_clean,1,1,1,1
eval_0193,sample_0363,pair_011,3,1,3031,native_SS,1,1,1,0
eval_0194,sample_0578,pair_068,3,2,3032,lsda_clean,1,1,1,1
eval_0195,sample_0677,pair_091,3,2,3032,native_SS,0,0,0,0
eval_0196,sample_0203,pair_014,3,1,3031,native_SS,1,1,1,1
eval_0197,sample_0700,pair_062,3,1,3031,native_SS,0,0,0,0
eval_0198,sample_0454,pair_092,1,1,1011,native_SS,1,1,1,1
eval_0199,sample_0435,pair_019,3,2,3032,native_SS,1,1,1,0
eval_0200,sample_0758,pair_011,1,1,1011,native_SS,1,0,0,0
eval_0201,sample_0253,pair_028,2,3,2023,native_SS,1,1,1,0
eval_0202,sample_0583,pair_078,3,3,3033,native_SS,1,1,1,1
eval_0203,sample_0088,pair_085,1,3,1013,native_SS,1,1,1,1
eval_0204,sample_0796,pair_094,3,2,3032,native_SS,1,1,1,0
eval_0205,sample_0879,pair_015,2,2,2022,lsda_clean,1,1,1,1
eval_0206,sample_0175,pair_077,3,2,3032,native_SS,1,1,1,0
eval_0207,sample_0246,pair_070,2,2,2022,lsda_clean,1,1,1,1
eval_0208,sample_0868,pair_013,1,2,1012,native_SS,0,0,0,0
eval_0209,sample_0571,pair_073,3,2,3032,native_SS,1,1,1,1
eval_0210,sample_0353,pair_061,2,1,2021,lsda_clean,1,1,1,1
eval_0211,sample_0239,pair_071,1,3,1013,native_SS,1,0,0,0
eval_0212,sample_0114,pair_040,1,3,1013,lsda_clean,1,1,1,1
eval_0213,sample_0413,pair_098,2,1,2021,native_SS,1,1,1,0
eval_0214,sample_0750,pair_030,1,2,1012,native_SS,0,0,0,0
eval_0215,sample_0755,pair_045,1,3,1013,lsda_clean,1,1,1,1
eval_0216,sample_0431,pair_003,3,2,3032,native_SS,0,0,0,0
eval_0217,sample_0044,pair_020,3,3,3033,lsda_clean,1,0,0,0
eval_0218,sample_0660,pair_001,3,1,3031,lsda_clean,1,1,1,1
eval_0219,sample_0022,pair_041,2,1,2021,lsda_clean,1,0,0,0
eval_0220,sample_0872,pair_031,3,3,3033,lsda_clean,1,1,1,1
eval_0221,sample_0216,pair_049,2,2,2022,native_SS,1,0,0,0
eval_0222,sample_0254,pair_050,2,3,2023,native_SS,1,1,1,1
eval_0223,sample_0057,pair_097,3,1,3031,lsda_clean,1,1,1,1
eval_0224,sample_0496,pair_051,2,1,2021,lsda_clean,1,1,1,1
eval_0225,sample_0807,pair_001,2,1,2021,lsda_clean,1,1,1,0
eval_0226,sample_0584,pair_051,2,2,2022,lsda_clean,1,1,1,1
eval_0227,sample_0900,pair_003,3,3,3033,lsda_clean,1,1,1,1
eval_0228,sample_0178,pair_060,3,1,3031,lsda_clean,1,1,1,1
eval_0229,sample_0302,pair_093,2,1,2021,lsda_clean,1,1,1,0
eval_0230,sample_0391,pair_044,3,2,3032,native_SS,1,1,1,0
eval_0231,sample_0430,pair_047,1,2,1012,lsda_clean,1,1,1,0
eval_0232,sample_0255,pair_010,1,1,1011,native_SS,0,0,0,0
eval_0233,sample_0539,pair_047,3,1,3031,native_SS,1,1,1,1
eval_0234,sample_0758,pair_011,1,1,1011,lsda_clean,1,1,1,0
eval_0235,sample_0639,pair_064,1,2,1012,native_SS,0,0,0,0
eval_0236,sample_0822,pair_095,1,3,1013,native_SS,1,1,1,0
eval_0237,sample_0666,pair_060,3,2,3032,native_SS,1,0,0,0
eval_0238,sample_0792,pair_055,1,2,1012,lsda_clean,1,1,1,0
eval_0239,sample_0480,pair_009,2,3,2023,native_SS,1,1,1,0
eval_0240,sample_0860,pair_057,2,1,2021,native_SS,1,1,1,1
eval_0241,sample_0198,pair_062,2,3,2023,native_SS,1,0,0,0
eval_0242,sample_0132,pair_075,3,3,3033,native_SS,0,0,0,0
eval_0243,sample_0422,pair_030,3,2,3032,native_SS,1,1,1,0
eval_0244,sample_0541,pair_069,2,3,2023,native_SS,1,1,1,0
eval_0245,sample_0685,pair_069,2,1,2021,native_SS,1,1,1,1
eval_0246,sample_0855,pair_010,2,1,2021,lsda_clean,1,1,1,0
eval_0247,sample_0071,pair_008,3,2,3032,lsda_clean,1,1,1,1
eval_0248,sample_0170,pair_034,1,2,1012,lsda_clean,1,1,1,1
eval_0249,sample_0374,pair_081,1,1,1011,lsda_clean,1,1,1,1
eval_0250,sample_0871,pair_095,1,2,1012,lsda_clean,1,0,0,0
eval_0251,sample_0402,pair_099,3,3,3033,native_SS,1,1,1,0
eval_0252,sample_0829,pair_060,1,2,1012,lsda_clean,0,1,0,0
eval_0253,sample_0817,pair_006,1,3,1013,native_SS,0,0,0,1
eval_0254,sample_0785,pair_005,3,3,3033,native_SS,1,0,0,0
eval_0255,sample_0222,pair_068,3,3,3033,native_SS,1,1,1,1
eval_0256,sample_0305,pair_037,1,3,1013,lsda_clean,1,1,1,0
eval_0257,sample_0014,pair_026,2,2,2022,native_SS,1,1,1,0
eval_0258,sample_0735,pair_082,3,3,3033,native_SS,1,1,1,1
eval_0259,sample_0399,pair_002,3,1,3031,native_SS,0,0,0,0
eval_0260,sample_0732,pair_096,2,2,2022,native_SS,0,0,0,0
eval_0261,sample_0154,pair_051,3,3,3033,lsda_clean,1,1,1,0
eval_0262,sample_0462,pair_043,1,2,1012,lsda_clean,1,1,1,1
eval_0263,sample_0328,pair_071,2,3,2023,lsda_clean,0,0,0,0
eval_0264,sample_0724,pair_064,2,2,2022,native_SS,1,0,0,1
eval_0265,sample_0569,pair_040,1,2,1012,native_SS,1,0,0,0
eval_0266,sample_0290,pair_092,3,2,3032,lsda_clean,0,1,0,0
eval_0267,sample_0300,pair_048,2,3,2023,native_SS,1,0,0,0
eval_0268,sample_0198,pair_062,2,3,2023,lsda_clean,1,1,1,1
eval_0269,sample_0781,pair_017,3,1,3031,native_SS,1,0,0,0
eval_0270,sample_0858,pair_045,3,2,3032,lsda_clean,0,0,0,1
eval_0271,sample_0159,pair_030,1,3,1013,lsda_clean,1,1,1,1
eval_0272,sample_0733,pair_056,2,3,2023,lsda_clean,1,1,1,1
eval_0273,sample_0234,pair_099,2,1,2021,lsda_clean,1,1,1,1
eval_0274,sample_0384,pair_002,2,2,2022,native_SS,1,1,1,0
eval_0275,sample_0504,pair_080,3,3,3033,lsda_clean,1,1,1,1
eval_0276,sample_0857,pair_070,2,1,2021,lsda_clean,1,1,1,1
eval_0277,sample_0882,pair_100,1,2,1012,native_SS,1,1,1,1
eval_0278,sample_0365,pair_053,2,1,2021,lsda_clean,1,0,0,0
eval_0279,sample_0206,pair_039,2,1,2021,lsda_clean,1,1,1,1
eval_0280,sample_0798,pair_065,2,2,2022,native_SS,0,0,0,0
eval_0281,sample_0272,pair_022,1,2,1012,native_SS,1,1,1,0
eval_0282,sample_0153,pair_096,1,2,1012,native_SS,1,0,0,0
eval_0283,sample_0684,pair_008,2,1,2021,native_SS,0,0,0,0
eval_0284,sample_0588,pair_035,1,2,1012,native_SS,1,0,0,0
eval_0285,sample_0649,pair_018,2,1,2021,lsda_clean,1,1,1,0
eval_0286,sample_0193,pair_022,1,3,1013,native_SS,1,1,1,0
eval_0287,sample_0734,pair_088,3,1,3031,lsda_clean,1,0,0,0
eval_0288,sample_0862,pair_012,2,3,2023,lsda_clean,1,1,1,0
eval_0289,sample_0885,pair_056,1,2,1012,lsda_clean,1,1,1,1
eval_0290,sample_0517,pair_075,2,2,2022,lsda_clean,1,1,1,1
eval_0291,sample_0456,pair_006,1,2,1012,native_SS,1,0,0,0
eval_0292,sample_0482,pair_029,2,3,2023,lsda_clean,1,1,1,1
eval_0293,sample_0384,pair_002,2,2,2022,lsda_clean,1,1,1,0
eval_0294,sample_0802,pair_058,2,2,2022,native_SS,0,0,0,0
eval_0295,sample_0475,pair_034,1,3,1013,lsda_clean,1,0,0,1
eval_0296,sample_0863,pair_076,3,3,3033,lsda_clean,1,1,1,1
eval_0297,sample_0184,pair_083,2,2,2022,lsda_clean,1,1,1,1
eval_0298,sample_0851,pair_096,2,1,2021,native_SS,1,0,0,0
eval_0299,sample_0062,pair_021,1,1,1011,native_SS,1,1,1,0
eval_0300,sample_0196,pair_066,3,3,3033,native_SS,0,0,0,0
eval_0301,sample_0495,pair_023,2,1,2021,native_SS,1,1,1,0
eval_0302,sample_0008,pair_077,3,3,3033,lsda_clean,1,1,1,0
eval_0303,sample_0128,pair_033,3,1,3031,lsda_clean,1,1,1,0
eval_0304,sample_0511,pair_023,2,2,2022,lsda_clean,1,0,0,0
eval_0305,sample_0407,pair_030,3,3,3033,native_SS,1,1,1,0
eval_0306,sample_0299,pair_020,3,2,3032,native_SS,1,1,1,0
eval_0307,sample_0465,pair_028,1,3,1013,lsda_clean,1,1,1,0
eval_0308,sample_0407,pair_030,3,3,3033,lsda_clean,1,1,1,1
eval_0309,sample_0826,pair_076,1,3,1013,lsda_clean,1,1,1,1
eval_0310,sample_0041,pair_068,2,3,2023,native_SS,1,1,1,0
eval_0311,sample_0658,pair_038,1,2,1012,native_SS,1,1,1,0
eval_0312,sample_0689,pair_085,2,2,2022,lsda_clean,1,1,1,0
eval_0313,sample_0142,pair_076,2,1,2021,lsda_clean,1,1,1,1
eval_0314,sample_0067,pair_043,3,3,3033,lsda_clean,1,0,0,0
eval_0315,sample_0891,pair_078,1,2,1012,native_SS,1,1,1,1
eval_0316,sample_0319,pair_059,3,2,3032,native_SS,1,0,0,0
eval_0317,sample_0860,pair_057,2,1,2021,lsda_clean,1,1,1,0
eval_0318,sample_0887,pair_060,2,1,2021,native_SS,1,1,1,0
eval_0319,sample_0900,pair_003,3,3,3033,native_SS,0,1,0,0
eval_0320,sample_0880,pair_072,1,1,1011,lsda_clean,1,1,1,1
eval_0321,sample_0525,pair_037,3,1,3031,lsda_clean,1,1,1,0
eval_0322,sample_0468,pair_022,2,3,2023,native_SS,1,1,1,0
eval_0323,sample_0400,pair_042,2,3,2023,lsda_clean,1,1,1,1
eval_0324,sample_0529,pair_007,3,2,3032,native_SS,1,1,1,1
eval_0325,sample_0586,pair_025,2,3,2023,native_SS,0,0,0,1
eval_0326,sample_0242,pair_022,2,2,2022,native_SS,1,1,1,1
eval_0327,sample_0328,pair_071,2,3,2023,native_SS,0,0,0,0
eval_0328,sample_0360,pair_061,1,3,1013,lsda_clean,1,1,1,0
eval_0329,sample_0467,pair_058,1,3,1013,native_SS,0,0,0,0
eval_0330,sample_0217,pair_056,2,1,2021,lsda_clean,1,1,1,0
eval_0331,sample_0298,pair_065,3,3,3033,lsda_clean,1,0,0,1
eval_0332,sample_0540,pair_072,1,2,1012,lsda_clean,1,1,1,1
eval_0333,sample_0414,pair_082,2,1,2021,lsda_clean,1,1,1,1
eval_0334,sample_0049,pair_009,2,1,2021,lsda_clean,1,1,1,0
eval_0335,sample_0285,pair_090,3,1,3031,native_SS,0,0,0,0
eval_0336,sample_0470,pair_064,1,1,1011,native_SS,1,1,1,0
eval_0337,sample_0396,pair_080,3,1,3031,lsda_clean,1,1,1,0
eval_0338,sample_0562,pair_070,1,1,1011,native_SS,0,0,0,0
eval_0339,sample_0303,pair_086,3,3,3033,native_SS,1,1,1,1
eval_0340,sample_0660,pair_001,3,1,3031,native_SS,1,1,1,0
eval_0341,sample_0782,pair_071,3,2,3032,lsda_clean,1,1,1,0
eval_0342,sample_0072,pair_009,3,3,3033,native_SS,1,1,1,0
eval_0343,sample_0236,pair_062,1,1,1011,lsda_clean,1,1,1,1
eval_0344,sample_0160,pair_099,2,2,2022,lsda_clean,1,1,1,1
eval_0345,sample_0834,pair_003,3,1,3031,native_SS,0,0,0,0
eval_0346,sample_0515,pair_086,1,3,1013,lsda_clean,1,1,1,1
eval_0347,sample_0481,pair_093,1,2,1012,lsda_clean,1,1,1,0
eval_0348,sample_0884,pair_074,3,3,3033,native_SS,1,1,1,0
eval_0349,sample_0687,pair_065,2,3,2023,lsda_clean,1,1,1,1
eval_0350,sample_0241,pair_045,2,2,2022,native_SS,0,0,0,0
eval_0351,sample_0650,pair_030,2,2,2022,lsda_clean,0,1,0,0
eval_0352,sample_0737,pair_027,2,2,2022,native_SS,0,0,0,0
eval_0353,sample_0014,pair_026,2,2,2022,lsda_clean,1,1,1,0
eval_0354,sample_0309,pair_016,3,1,3031,native_SS,1,0,0,0
eval_0355,sample_0816,pair_072,2,1,2021,lsda_clean,1,1,1,1
eval_0356,sample_0679,pair_060,2,3,2023,lsda_clean,1,1,1,0
eval_0357,sample_0005,pair_029,2,1,2021,native_SS,0,0,0,0
eval_0358,sample_0264,pair_012,1,3,1013,lsda_clean,1,1,1,0
eval_0359,sample_0881,pair_089,1,2,1012,lsda_clean,1,1,1,1
eval_0360,sample_0581,pair_045,2,3,2023,lsda_clean,1,0,0,1
eval_0361,sample_0078,pair_098,1,3,1013,native_SS,1,1,1,0
eval_0362,sample_0804,pair_056,1,3,1013,lsda_clean,1,1,1,0
eval_0363,sample_0222,pair_068,3,3,3033,lsda_clean,1,1,1,0
eval_0364,sample_0059,pair_018,2,2,2022,native_SS,0,0,0,0
eval_0365,sample_0220,pair_094,1,1,1011,native_SS,1,1,1,0
