sample_id,pair_id,pair_index,seed_group,replicate,latent_seed,native_eval_id,lsda_eval_id,native_correct,native_drift,lsda_correct,lsda_drift,transition
sample_0072,pair_009,9,3,3,3033,eval_0342,eval_0438,1,0,1,0,both_correct
sample_0073,pair_061,61,3,2,3032,eval_1729,eval_1092,1,0,1,0,both_correct
sample_0074,pair_075,75,1,3,1013,eval_1198,eval_0933,1,0,1,0,both_correct
sample_0075,pair_059,59,2,2,2022,eval_0585,eval_1654,0,1,1,0,restored
sample_0076,pair_023,23,1,3,1013,eval_0056,eval_1575,0,1,1,0,restored
sample_0077,pair_045,45,1,1,1011,eval_1582,eval_0142,1,0,1,0,both_correct
sample_0078,pair_098,98,1,3,1013,eval_0361,eval_0447,1,0,1,0,both_correct
sample_0079,pair_083,83,3,3,3033,eval_0519,eval_0120,1,0,1,0,both_correct
sample_0080,pair_081,81,1,2,1012,eval_0514,eval_0878,0,1,1,0,restored
sample_0081,pair_035,35,3,1,3031,eval_1705,eval_1068,1,0,1,0,both_correct
sample_0082,pair_025,25,1,2,1012,eval_1388,eval_1038,0,1,1,0,restored
sample_0083,pair_055,55,1,3,1013,eval_1597,eval_1528,0,1,1,0,restored
sample_0084,pair_007,7,2,3,2023,eval_0706,eval_0713,1,0,1,0,both_correct
sample_0085,pair_098,98,2,3,2023,eval_0075,eval_1434,1,0,1,0,both_correct
sample_0086,pair_093,93,2,3,2023,eval_1072,eval_1640,1,0,1,0,both_correct
sample_0087,pair_063,63,1,1,1011,eval_1119,eval_0944,1,0,1,0,both_correct
sample_0088,pair_085,85,1,3,1013,eval_0203,eval_0901,1,0,1,0,both_correct
sample_0089,pair_002,2,3,2,3032,eval_0892,eval_1136,1,0,1,0,both_correct
sample_0090,pair_098,98,3,3,3033,eval_1036,eval_0768,1,0,1,0,both_correct
sample_0091,pair_046,46,3,3,3033,eval_0829,eval_0643,1,0,1,0,both_correct
sample_0092,pair_091,91,2,1,2021,eval_0651,eval_1098,0,1,1,0,restored
sample_0093,pair_041,41,1,1,1011,eval_0394,eval_1710,1,0,1,0,both_correct
sample_0094,pair_073,73,1,3,1013,eval_0783,eval_0835,1,0,1,0,both_correct
sample_0095,pair_003,3,2,3,2023,eval_0144,eval_0909,0,1,1,0,restored
sample_0096,pair_048,48,3,3,3033,eval_0759,eval_0906,1,0,1,0,both_correct
sample_0097,pair_094,94,1,2,1012,eval_0170,eval_0551,1,0,1,0,both_correct
sample_0098,pair_027,27,1,1,1011,eval_1508,eval_0932,1,0,1,0,both_correct
sample_0099,pair_004,4,1,3,1013,eval_1187,eval_0483,1,0,1,0,both_correct
sample_0100,pair_071,71,3,3,3033,eval_1598,eval_0522,0,1,1,0,restored
sample_0101,pair_094,94,2,1,2021,eval_1561,eval_1363,1,0,1,0,both_correct
sample_0102,pair_025,25,1,1,1011,eval_1715,eval_0716,0,1,1,0,restored
sample_0103,pair_041,41,3,2,3032,eval_1192,eval_1237,1,0,1,0,both_correct
sample_0104,pair_006,6,2,2,2022,eval_0112,eval_1344,1,0,1,0,both_correct
sample_0105,pair_002,2,2,3,2023,eval_1507,eval_0137,1,0,1,0,both_correct
sample_0106,pair_066,66,2,3,2023,eval_0689,eval_1471,1,0,1,0,both_correct
sample_0107,pair_058,58,1,1,1011,eval_1029,eval_1064,1,0,1,0,both_correct
sample_0108,pair_068,68,1,3,1013,eval_1594,eval_1340,1,0,1,0,both_correct
sample_0109,pair_081,81,2,3,2023,eval_1718,eval_0468,1,0,1,0,both_correct
sample_0110,pair_037,37,2,2,2022,eval_1459,eval_1540,1,0,1,0,both_correct
sample_0111,pair_073,73,2,2,2022,eval_1553,eval_0816,1,0,1,0,both_correct
sample_0112,pair_048,48,2,2,2022,eval_1410,eval_0682,0,1,1,0,restored
sample_0113,pair_009,9,1,3,1013,eval_1681,eval_1684,0,1,1,0,restored
sample_0114,pair_040,40,1,3,1013,eval_0021,eval_0212,1,0,1,0,both_correct
sample_0115,pair_071,71,1,1,1011,eval_1308,eval_1115,1,0,1,0,both_correct
sample_0116,pair_090,90,1,1,1011,eval_0593,eval_0423,1,0,1,0,both_correct
sample_0117,pair_085,85,3,1,3031,eval_1236,eval_0943,1,0,1,0,both_correct
sample_0118,pair_100,100,3,1,3031,eval_1460,eval_1520,0,1,1,0,restored
sample_0119,pair_005,5,3,2,3032,eval_1379,eval_1488,1,0,1,0,both_correct
sample_0120,pair_075,75,1,1,1011,eval_1461,eval_0616,1,0,1,0,both_correct
sample_0121,pair_071,71,2,1,2021,eval_0570,eval_1140,1,0,1,0,both_correct
sample_0122,pair_083,83,3,2,3032,eval_1678,eval_0853,0,1,1,0,restored
sample_0123,pair_013,13,3,2,3032,eval_0060,eval_0600,0,1,1,0,restored
sample_0124,pair_024,24,2,2,2022,eval_1178,eval_0809,1,0,1,0,both_correct
sample_0125,pair_039,39,3,2,3032,eval_1489,eval_0882,1,0,1,0,both_correct
sample_0126,pair_055,55,1,1,1011,eval_1129,eval_1338,1,0,1,0,both_correct
sample_0127,pair_047,47,2,3,2023,eval_0951,eval_0089,0,1,1,0,restored
sample_0128,pair_033,33,3,1,3031,eval_0791,eval_0303,1,0,1,0,both_correct
sample_0129,pair_011,11,1,3,1013,eval_0924,eval_1686,1,0,1,0,both_correct
sample_0130,pair_070,70,2,3,2023,eval_1373,eval_0971,1,0,1,0,both_correct
sample_0131,pair_015,15,3,3,3033,eval_0703,eval_1030,0,1,1,0,restored
sample_0132,pair_075,75,3,3,3033,eval_0242,eval_1558,0,1,1,0,restored
sample_0133,pair_096,96,1,1,1011,eval_0749,eval_1394,1,0,1,0,both_correct
sample_0134,pair_051,51,1,2,1012,eval_0634,eval_1695,1,0,1,0,both_correct
sample_0135,pair_034,34,2,2,2022,eval_1248,eval_0518,0,1,1,0,restored
sample_0136,pair_093,93,3,1,3031,eval_0544,eval_1412,1,0,1,0,both_correct
sample_0137,pair_086,86,1,1,1011,eval_1276,eval_1152,1,0,1,0,both_correct
sample_0138,pair_086,86,2,1,2021,eval_1150,eval_1357,1,0,1,0,both_correct
sample_0139,pair_038,38,1,3,1013,eval_1699,eval_0161,1,0,1,0,both_correct
sample_0140,pair_007,7,1,2,1012,eval_1401,eval_1212,1,0,1,0,both_correct
sample_0141,pair_091,91,3,3,3033,eval_0760,eval_0080,0,1,1,0,restored
sample_0142,pair_076,76,2,1,2021,eval_0133,eval_0313,0,1,1,0,restored
sample_0143,pair_003,3,1,3,1013,eval_1786,eval_0425,1,0,1,0,both_correct
sample_0144,pair_048,48,3,1,3031,eval_0406,eval_1560,1,0,1,0,both_correct
sample_0145,pair_027,27,2,3,2023,eval_0094,eval_1542,0,1,1,0,restored
sample_0146,pair_027,27,3,3,3033,eval_1295,eval_0686,0,1,1,0,restored
sample_0147,pair_003,3,1,2,1012,eval_0781,eval_0757,0,1,1,0,restored
sample_0148,pair_010,10,3,2,3032,eval_0868,eval_1599,1,0,1,0,both_correct
sample_0149,pair_077,77,2,2,2022,eval_0048,eval_1209,1,0,1,0,both_correct
sample_0150,pair_042,42,1,1,1011,eval_0702,eval_0765,1,0,1,0,both_correct
sample_0151,pair_084,84,2,3,2023,eval_0166,eval_1569,0,1,1,0,restored
sample_0152,pair_016,16,2,1,2021,eval_0506,eval_1372,1,0,1,0,both_correct
sample_0153,pair_096,96,1,2,1012,eval_0282,eval_1082,1,0,1,0,both_correct
sample_0154,pair_051,51,3,3,3033,eval_0910,eval_0261,0,1,1,0,restored
sample_0155,pair_081,81,1,3,1013,eval_1181,eval_0598,0,1,1,0,restored
sample_0156,pair_092,92,1,2,1012,eval_0035,eval_0750,1,0,1,0,both_correct
sample_0157,pair_008,8,2,2,2022,eval_0903,eval_0383,1,0,1,0,both_correct
sample_0158,pair_054,54,2,1,2021,eval_0434,eval_1250,0,1,1,0,restored
sample_0159,pair_030,30,1,3,1013,eval_1077,eval_0271,0,1,1,0,restored
sample_0160,pair_099,99,2,2,2022,eval_1085,eval_0344,1,0,1,0,both_correct
sample_0161,pair_089,89,2,2,2022,eval_0797,eval_0442,0,1,1,0,restored
sample_0162,pair_040,40,1,1,1011,eval_1636,eval_0962,1,0,1,0,both_correct
sample_0163,pair_067,67,1,2,1012,eval_0458,eval_0187,1,0,1,0,both_correct
sample_0164,pair_092,92,2,1,2021,eval_0753,eval_0893,1,0,1,0,both_correct
sample_0165,pair_033,33,2,3,2023,eval_0725,eval_1661,1,0,1,0,both_correct
sample_0166,pair_096,96,3,1,3031,eval_0946,eval_1151,1,0,1,0,both_correct
sample_0167,pair_044,44,3,3,3033,eval_0675,eval_0532,1,0,1,0,both_correct
sample_0168,pair_044,44,2,3,2023,eval_1548,eval_0029,1,0,1,0,both_correct
sample_0169,pair_037,37,2,1,2021,eval_0042,eval_0867,1,0,1,0,both_correct
sample_0170,pair_034,34,1,2,1012,eval_1496,eval_0248,1,0,1,0,both_correct
sample_0171,pair_017,17,2,1,2021,eval_0724,eval_1680,1,0,1,0,both_correct
sample_0172,pair_003,3,2,1,2021,eval_1458,eval_1167,0,1,1,0,restored
sample_0173,pair_097,97,2,2,2022,eval_1740,eval_0490,1,0,1,0,both_correct
sample_0174,pair_094,94,3,1,3031,eval_1592,eval_1133,1,0,1,0,both_correct
sample_0175,pair_077,77,3,2,3032,eval_0206,eval_1477,1,0,1,0,both_correct
sample_0176,pair_092,92,3,3,3033,eval_1322,eval_0403,1,0,1,0,both_correct
sample_0177,pair_066,66,1,3,1013,eval_1467,eval_0846,1,0,1,0,both_correct
sample_0178,pair_060,60,3,1,3031,eval_0670,eval_0228,0,1,1,0,restored
sample_0179,pair_096,96,2,3,2023,eval_0006,eval_1414,0,1,1,0,restored
sample_0180,pair_035,35,1,3,1013,eval_1422,eval_1656,0,1,0,1,persistent_failure
sample_0181,pair_089,89,3,1,3031,eval_0138,eval_1132,1,0,1,0,both_correct
sample_0182,pair_074,74,1,3,1013,eval_1783,eval_1299,1,0,1,0,both_correct
sample_0183,pair_046,46,2,1,2021,eval_0460,eval_0899,0,1,0,1,persistent_failure
sample_0184,pair_083,83,2,2,2022,eval_1436,eval_0297,0,1,1,0,restored
sample_0185,pair_090,90,2,2,2022,eval_1644,eval_1320,0,1,1,0,restored
sample_0186,pair_088,88,3,2,3032,eval_0904,eval_0139,0,1,1,0,restored
sample_0187,pair_049,49,1,2,1012,eval_1727,eval_1511,1,0,1,0,both_correct
sample_0188,pair_087,87,2,1,2021,eval_1381,eval_0843,1,0,1,0,both_correct
sample_0189,pair_032,32,2,3,2023,eval_1625,eval_1157,1,0,1,0,both_correct
sample_0190,pair_035,35,2,1,2021,eval_1800,eval_1017,0,1,1,0,restored
sample_0191,pair_024,24,1,1,1011,eval_0968,eval_0439,1,0,1,0,both_correct
sample_0192,pair_085,85,3,3,3033,eval_0087,eval_0597,1,0,1,0,both_correct
sample_0193,pair_022,22,1,3,1013,eval_0286,eval_0879,1,0,1,0,both_correct
sample_0194,pair_099,99,3,1,3031,eval_0779,eval_0705,1,0,1,0,both_correct
sample_0195,pair_063,63,2,1,2021,eval_1736,eval_1024,1,0,1,0,both_correct
sample_0196,pair_066,66,3,3,3033,eval_0300,eval_0400,0,1,1,0,restored
sample_0197,pair_050,50,1,3,1013,eval_1272,eval_0678,1,0,1,0,both_correct
sample_0198,pair_062,62,2,3,2023,eval_0241,eval_0268,1,0,1,0,both_correct
sample_0199,pair_005,5,1,2,1012,eval_1708,eval_1726,1,0,1,0,both_correct
sample_0200,pair_024,24,3,3,3033,eval_0794,eval_0601,1,0,1,0,both_correct
sample_0201,pair_056,56,3,1,3031,eval_1179,eval_1382,1,0,1,0,both_correct
sample_0202,pair_073,73,1,2,1012,eval_1154,eval_0963,1,0,1,0,both_correct
sample_0203,pair_014,14,3,1,3031,eval_0196,eval_0747,1,0,1,0,both_correct
sample_0204,pair_004,4,1,2,1012,eval_0130,eval_1121,1,0,1,0,both_correct
sample_0205,pair_066,66,2,1,2021,eval_0857,eval_0911,1,0,1,0,both_correct
sample_0206,pair_039,39,2,1,2021,eval_1473,eval_0279,0,1,1,0,restored
sample_0207,pair_027,27,1,2,1012,eval_0777,eval_1682,1,0,1,0,both_correct
sample_0208,pair_064,64,3,1,3031,eval_1648,eval_1084,0,1,1,0,restored
sample_0209,pair_084,84,3,1,3031,eval_0467,eval_1069,0,1,1,0,restored
sample_0210,pair_080,80,1,2,1012,eval_0143,eval_0534,1,0,1,0,both_correct
sample_0211,pair_074,74,2,3,2023,eval_1247,eval_1579,1,0,1,0,both_correct
sample_0212,pair_057,57,2,2,2022,eval_0452,eval_1220,1,0,1,0,both_correct
sample_0213,pair_001,1,2,3,2023,eval_1262,eval_1183,1,0,1,0,both_correct
sample_0214,pair_051,51,2,3,2023,eval_1551,eval_0039,1,0,1,0,both_correct
sample_0215,pair_024,24,1,2,1012,eval_0584,eval_0168,1,0,1,0,both_correct
sample_0216,pair_049,49,2,2,2022,eval_0221,eval_1111,1,0,1,0,both_correct
sample_0217,pair_056,56,2,1,2021,eval_0081,eval_0330,1,0,1,0,both_correct
sample_0218,pair_008,8,1,1,1011,eval_0660,eval_0050,1,0,1,0,both_correct
sample_0219,pair_014,14,1,3,1013,eval_1354,eval_0568,0,1,1,0,restored
sample_0220,pair_094,94,1,1,1011,eval_0365,eval_1470,1,0,1,0,both_correct
sample_0221,pair_097,97,1,2,1012,eval_1213,eval_1637,1,0,1,0,both_correct
sample_0222,pair_068,68,3,3,3033,eval_0255,eval_0363,1,0,1,0,both_correct
sample_0223,pair_077,77,2,1,2021,eval_1667,eval_0427,1,0,1,0,both_correct
sample_0224,pair_055,55,3,1,3031,eval_0405,eval_1730,0,1,0,1,persistent_failure
sample_0225,pair_028,28,3,3,3033,eval_1725,eval_0024,0,1,1,0,restored
sample_0226,pair_019,19,1,3,1013,eval_0404,eval_0884,1,0,1,0,both_correct
sample_0227,pair_023,23,2,3,2023,eval_0528,eval_1203,1,0,1,0,both_correct
sample_0228,pair_037,37,2,3,2023,eval_1717,eval_0028,1,0,1,0,both_correct
sample_0229,pair_067,67,2,2,2022,eval_1362,eval_0942,1,0,0,1,worsened
sample_0230,pair_035,35,3,3,3033,eval_0996,eval_1777,1,0,0,1,worsened
sample_0231,pair_018,18,1,3,1013,eval_0874,eval_1653,1,0,1,0,both_correct
sample_0232,pair_093,93,1,3,1013,eval_0939,eval_1790,1,0,1,0,both_correct
sample_0233,pair_036,36,1,2,1012,eval_0923,eval_1137,1,0,1,0,both_correct
sample_0234,pair_099,99,2,1,2021,eval_0535,eval_0273,1,0,1,0,both_correct
sample_0235,pair_037,37,3,2,3032,eval_0959,eval_0741,1,0,1,0,both_correct
sample_0236,pair_062,62,1,1,1011,eval_1794,eval_0343,0,1,1,0,restored
sample_0237,pair_013,13,1,3,1013,eval_1314,eval_1611,1,0,1,0,both_correct
sample_0238,pair_072,72,3,2,3032,eval_0432,eval_0372,1,0,1,0,both_correct
sample_0239,pair_071,71,1,3,1013,eval_0211,eval_1117,1,0,1,0,both_correct
sample_0240,pair_080,80,1,1,1011,eval_1515,eval_0402,1,0,1,0,both_correct
sample_0241,pair_045,45,2,2,2022,eval_0350,eval_1305,0,1,1,0,restored
sample_0242,pair_022,22,2,2,2022,eval_0326,eval_1608,1,0,1,0,both_correct
sample_0243,pair_015,15,3,2,3032,eval_1416,eval_0690,0,1,1,0,restored
sample_0244,pair_007,7,2,2,2022,eval_1096,eval_0059,1,0,1,0,both_correct
sample_0245,pair_006,6,3,3,3033,eval_0392,eval_0140,1,0,1,0,both_correct
sample_0246,pair_070,70,2,2,2022,eval_1474,eval_0207,1,0,1,0,both_correct
sample_0247,pair_097,97,2,1,2021,eval_0486,eval_0659,1,0,1,0,both_correct
sample_0248,pair_023,23,1,1,1011,eval_0742,eval_0496,0,1,1,0,restored
sample_0249,pair_057,57,2,3,2023,eval_1411,eval_0407,1,0,1,0,both_correct
sample_0250,pair_100,100,3,3,3033,eval_0650,eval_0012,1,0,1,0,both_correct
sample_0251,pair_075,75,3,2,3032,eval_1014,eval_1170,1,0,1,0,both_correct
sample_0252,pair_052,52,1,2,1012,eval_0559,eval_1265,1,0,1,0,both_correct
sample_0253,pair_028,28,2,3,2023,eval_0201,eval_0991,1,0,1,0,both_correct
sample_0254,pair_050,50,2,3,2023,eval_0222,eval_0485,1,0,1,0,both_correct
sample_0255,pair_010,10,1,1,1011,eval_0232,eval_0688,0,1,1,0,restored
sample_0256,pair_057,57,1,2,1012,eval_0099,eval_0838,1,0,1,0,both_correct
sample_0257,pair_019,19,2,1,2021,eval_0068,eval_0527,0,1,1,0,restored
sample_0258,pair_031,31,2,3,2023,eval_0153,eval_1175,1,0,1,0,both_correct
sample_0259,pair_078,78,2,2,2022,eval_0061,eval_0913,0,1,1,0,restored
sample_0260,pair_041,41,1,2,1012,eval_1269,eval_1649,0,1,1,0,restored
sample_0261,pair_004,4,1,1,1011,eval_1342,eval_0025,0,1,1,0,restored
sample_0262,pair_062,62,1,2,1012,eval_1135,eval_1555,0,1,0,1,persistent_failure
sample_0263,pair_031,31,1,3,1013,eval_1144,eval_1669,1,0,1,0,both_correct
sample_0264,pair_012,12,1,3,1013,eval_1120,eval_0358,0,1,1,0,restored
sample_0265,pair_001,1,1,1,1011,eval_1659,eval_0861,1,0,1,0,both_correct
sample_0266,pair_046,46,1,1,1011,eval_0960,eval_1054,0,1,1,0,restored
sample_0267,pair_076,76,3,2,3032,eval_0930,eval_0370,0,1,1,0,restored
sample_0268,pair_041,41,3,1,3031,eval_1689,eval_0790,1,0,1,0,both_correct
sample_0269,pair_089,89,1,1,1011,eval_0646,eval_1177,1,0,1,0,both_correct
sample_0270,pair_021,21,2,1,2021,eval_0463,eval_0555,0,1,1,0,restored
sample_0271,pair_062,62,2,2,2022,eval_1145,eval_1022,1,0,1,0,both_correct
sample_0272,pair_022,22,1,2,1012,eval_0281,eval_1674,1,0,1,0,both_correct
sample_0273,pair_010,10,3,1,3031,eval_0751,eval_1426,1,0,1,0,both_correct
sample_0274,pair_052,52,1,1,1011,eval_1130,eval_1105,0,1,0,1,persistent_failure
sample_0275,pair_093,93,1,1,1011,eval_0493,eval_0832,0,1,1,0,restored
sample_0276,pair_070,70,1,2,1012,eval_0699,eval_0900,1,0,1,0,both_correct
sample_0277,pair_100,100,1,3,1013,eval_1415,eval_0017,1,0,1,0,both_correct
sample_0278,pair_034,34,2,3,2023,eval_1641,eval_0746,1,0,1,0,both_correct
sample_0279,pair_002,2,1,2,1012,eval_0654,eval_0145,1,0,1,0,both_correct
sample_0280,pair_063,63,3,2,3032,eval_0775,eval_0093,0,1,1,0,restored
sample_0281,pair_035,35,2,3,2023,eval_0778,eval_0609,1,0,1,0,both_correct
sample_0282,pair_002,2,1,3,1013,eval_1657,eval_0505,1,0,1,0,both_correct
sample_0283,pair_006,6,3,1,3031,eval_0961,eval_0666,0,1,1,0,restored
sample_0284,pair_059,59,1,1,1011,eval_0178,eval_0755,1,0,1,0,both_correct
sample_0285,pair_090,90,3,1,3031,eval_0335,eval_1633,0,1,1,0,restored
sample_0286,pair_091,91,1,2,1012,eval_0160,eval_1040,0,1,1,0,restored
sample_0287,pair_043,43,1,1,1011,eval_1589,eval_1122,0,1,1,0,restored
sample_0288,pair_066,66,1,1,1011,eval_1703,eval_1796,1,0,1,0,both_correct
sample_0289,pair_058,58,2,1,2021,eval_0967,eval_0481,1,0,1,0,both_correct
sample_0290,pair_092,92,3,2,3032,eval_0941,eval_0266,0,1,0,1,persistent_failure
sample_0291,pair_053,53,1,1,1011,eval_1169,eval_1035,1,0,1,0,both_correct
sample_0292,pair_054,54,2,2,2022,eval_1309,eval_0680,1,0,1,0,both_correct
sample_0293,pair_034,34,3,2,3032,eval_0470,eval_1329,0,1,1,0,restored
sample_0294,pair_053,53,2,2,2022,eval_0920,eval_0986,1,0,1,0,both_correct
sample_0295,pair_009,9,3,1,3031,eval_0484,eval_0457,1,0,1,0,both_correct
sample_0296,pair_090,90,1,3,1013,eval_0540,eval_1645,0,1,1,0,restored
sample_0297,pair_057,57,3,1,3031,eval_0408,eval_1109,1,0,1,0,both_correct
sample_0298,pair_065,65,3,3,3033,eval_0476,eval_0331,1,0,1,0,both_correct
sample_0299,pair_020,20,3,2,3032,eval_0306,eval_0397,1,0,1,0,both_correct
sample_0300,pair_048,48,2,3,2023,eval_0267,eval_0488,1,0,1,0,both_correct
sample_0301,pair_025,25,3,3,3033,eval_0973,eval_1147,0,1,0,1,persistent_failure
sample_0302,pair_093,93,2,1,2021,eval_0937,eval_0229,0,1,1,0,restored
sample_0303,pair_086,86,3,3,3033,eval_0339,eval_1621,1,0,1,0,both_correct
sample_0304,pair_064,64,3,3,3033,eval_1732,eval_0380,1,0,1,0,both_correct
sample_0305,pair_037,37,1,3,1013,eval_0541,eval_0256,1,0,1,0,both_correct
sample_0306,pair_087,87,2,2,2022,eval_0958,eval_1291,1,0,1,0,both_correct
sample_0307,pair_007,7,2,1,2021,eval_0517,eval_1052,1,0,1,0,both_correct
sample_0308,pair_050,50,2,1,2021,eval_0477,eval_1348,1,0,1,0,both_correct
sample_0309,pair_016,16,3,1,3031,eval_0354,eval_1042,1,0,1,0,both_correct
sample_0310,pair_036,36,3,1,3031,eval_1201,eval_0389,0,1,1,0,restored
sample_0311,pair_086,86,2,3,2023,eval_1060,eval_1450,1,0,1,0,both_correct
